"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 03:51:34 GMT 2022","Mon Nov 21 03:51:35 GMT 2022","833","tests","test_luma_automation","","","","test_go_to_tees_page",""
"passed","Mon Nov 21 03:51:37 GMT 2022","Mon Nov 21 03:51:38 GMT 2022","890","tests","test_luma_automation","","","","test_go_men_page",""
