"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 19 09:21:25 GMT 2022","Sat Nov 19 09:21:26 GMT 2022","738","tests","test_luma_automation","","","","test_go_to_tees_page",""
"passed","Sat Nov 19 09:21:28 GMT 2022","Sat Nov 19 09:21:28 GMT 2022","748","tests","test_luma_automation","","","","test_go_men_page",""
