"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 15 04:40:31 GMT 2022","Tue Nov 15 04:40:31 GMT 2022","825","tests","test_luma_automation","","","","test_go_to_tees_page",""
"skipped","Tue Nov 15 04:40:33 GMT 2022","Tue Nov 15 04:40:34 GMT 2022","839","tests","test_luma_automation","","","","test_go_to_tees_psge_too",""
