"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 15 04:37:32 GMT 2022","Tue Nov 15 04:37:33 GMT 2022","912","tests","test_luma_automation","","","","test_go_to_tees_page",""
"skipped","Tue Nov 15 04:37:35 GMT 2022","Tue Nov 15 04:37:36 GMT 2022","816","tests","test_luma_automation","","","","test_go_to_tees_psge_too",""
