"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Nov 15 04:26:51 GMT 2022","Tue Nov 15 04:26:52 GMT 2022","846","tests","test_luma_automation","","","","test_go_to_tees_psge_too",""
"passed","Tue Nov 15 04:26:48 GMT 2022","Tue Nov 15 04:26:49 GMT 2022","811","tests","test_luma_automation","","","","test_go_to_tees_page",""
