"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Nov 15 05:23:13 GMT 2022","Tue Nov 15 05:23:13 GMT 2022","818","tests","test_luma_automation","","","","test_go_to_tees_psge_too",""
"passed","Tue Nov 15 05:23:10 GMT 2022","Tue Nov 15 05:23:11 GMT 2022","798","tests","test_luma_automation","","","","test_go_to_tees_page",""
