"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 07:01:00 GMT 2022","Wed Nov 16 07:01:01 GMT 2022","917","tests","test_luma_automation","","","","test_go_to_tees_page",""
"passed","Wed Nov 16 07:01:03 GMT 2022","Wed Nov 16 07:01:03 GMT 2022","899","tests","test_luma_automation","","","","test_go_men_page",""
